Name,Functional Group,Default
Isognomon janus,Other Invertebrates,I.janus
Isognomon nucleus,Other Invertebrates,Isog_nucl
Isopoda,Other Invertebrates,ISOPO
"Isopod, unidentified",Other Invertebrates,Iso
Isosicyonis alba,Other Invertebrates,ISOS
Isostichopus badionotus,Other Invertebrates,IsoBad
Janolus fuscus,Other Invertebrates,Jfu
Jassa marmorata,Other Invertebrates,JAS
Jellies,Other Invertebrates,Jellies
Jugaria quadrangularis,Other Invertebrates,JUQU
Junceella,Other Invertebrates,Junceella
Junceella_whip,Other Invertebrates,junwhi
Katharina tunicata,Other Invertebrates,Ktu
Kelp (unidentifed Laminariales),Other Invertebrates,KELP
Keyhole limpet,Other Invertebrates,Fissurella
Khang,Other Invertebrates,Khang
Kidderia bicolor,Other Invertebrates,KID
Kirkpatrickia variolosa,Other Invertebrates,Krva
Klyxum_bushy,Other Invertebrates,klybus
Knobbly Wink - Nodilittorina Pyramidalis,Other Invertebrates,NOD PYRA
Labidiaster annulatus,Other Invertebrates,LABI
Labioporella tuberculata,Other Invertebrates,LabiTuber
Lacuna vincta,Other Invertebrates,LAC
Laevilacunaria antarctica,Other Invertebrates,LAEV
Lafoea dumosa,Other Invertebrates,LADU
Lamellate Sponge,Other Invertebrates,LS
Large Massive Sponge,Other Invertebrates,SpMassLg
Laternula elliptica,Other Invertebrates,LATe
Latrunculia apicalis,Other Invertebrates,LAT
Leather Coral,Other Invertebrates,LC
Lebrunia spp.,Other Invertebrates,Lespp
Lemnalia,Other Invertebrates,LEM
Lepidonotothen nudifrons,Other Invertebrates,LEPI
Leptasterias spp.,Other Invertebrates,Lep
Leptochiton kerguelensis,Other Invertebrates,Lkerg
Leptocollonia innocens,Other Invertebrates,LepInn
Leptogorgia hebes,Other Invertebrates,LepHeb
Leptogorgia punicea,Other Invertebrates,LepPu
Leptogorgia virgulata,Other Invertebrates,LepVi
Leptosia sp.,Other Invertebrates,TOS
Leucandra spp.,Other Invertebrates,LEUD
Leucetta,Other Invertebrates,Leuc_sp
Leucetta antarctica,Other Invertebrates,Leu
Leucilla nuttingi,Other Invertebrates,LENU
Leucippa pentagona,Other Invertebrates,L.pentagon
Leucosolenia spp.,Other Invertebrates,LEUC
Libinia spp.,Other Invertebrates,LIB
Lichenoporidae sp.,Other Invertebrates,LISp
Licornia sp.,Other Invertebrates,LicorniaSP
Limacia cockerelli,Other Invertebrates,Lco
Limaria Link,Other Invertebrates,Lim-lnk
Limpets,Other Invertebrates,Limp
Limpetss,Other Invertebrates,Limpp
"Limpet, unidentified",Other Invertebrates,Lim
Linckia sp.,Other Invertebrates,LinSp
Liosina blastifera,Other Invertebrates,Lios
Liosina cf. granularis,Other Invertebrates,Lio_gra
Liothyrella uva,Other Invertebrates,LIOT
Lissoclinum_encrusting,Other Invertebrates,lisenc
Lissoclinum fragile,Other Invertebrates,L.fragile
lithophaga,Other Invertebrates,LITHOPHAGA
Lithophyton,Other Invertebrates,LITOP
Lithophytum_bushy,Other Invertebrates,litbus
Litophyton,Other Invertebrates,Lito
Little Blue Periwinkle - Nodilittorina Unifas,Other Invertebrates,NOD UN
Littorina littorea,Other Invertebrates,LIL
Live Barnacle,Other Invertebrates,LBa
Live Mussel,Other Invertebrates,LMu
Live Oyster,Other Invertebrates,LOy
Lobate Soft Coral,Other Invertebrates,LSC
Lobophyton/Sinularia,Other Invertebrates,LoSi
Lobophytum,Other Invertebrates,Lobphy
Lobophytum_digitate,Other Invertebrates,loodig
Lobophytum_lobate,Other Invertebrates,loolob
Lobophytum_massive,Other Invertebrates,loomas
Loimia medusa,Other Invertebrates,LMED
Lopholithodes mandtii,Other Invertebrates,Lma
Loxorhynchus crispatus,Other Invertebrates,Loc
Lyrocteis flavopallidus,Other Invertebrates,LYR
Lytechinus variegatus,Other Invertebrates,LytechVar
Macrorhynchia philippina,Other Invertebrates,MACRPH
Magarites pupillus,Other Invertebrates,Mpu
Magellania venosa,Other Invertebrates,Braquiopod
Malacobelemnon daytoni,Other Invertebrates,Malaco
Malleus regula,Other Invertebrates,MALr
Mangrove Oyster,Other Invertebrates,RM Oyster
Margarella antarctica,Other Invertebrates,MARG
Massive or encrusting sponges,Other Invertebrates,SINV_SPO_M
Mat tunicate,Other Invertebrates,MTUN
Mediaster aequalis,Other Invertebrates,Mae
Megabalanus cocopoma,Other Invertebrates,Mco
Megaciella Cardenas sp.,Other Invertebrates,MCa
Melarhaphe neritoides,Other Invertebrates,Melarh
Melibe leonina,Other Invertebrates,Mle
Melithaea,Other Invertebrates,Melith
Melithaeidae_fan,Other Invertebrates,melfan
Melophlus sarasinorum,Other Invertebrates,Mel_sar
Membranipora membranacea,Other Invertebrates,MEMB
Membranipora serrilamella,Other Invertebrates,MESE
Mesocentrotus franciscanus,Other Invertebrates,Mfr
Metacarcinus magister,Other Invertebrates,Mem
Metandrocarpa sp.,Other Invertebrates,MetanSP
Metandrocarpa taylori,Other Invertebrates,META
Metridium farcimen,Other Invertebrates,MEFA
Metridium senile,Other Invertebrates,MESN
Metridium senile (canopy),Other Invertebrates,MSC
Metridium senile (substratum),Other Invertebrates,MSS
Microciona prolifera,Other Invertebrates,MPR
microcosmus,Other Invertebrates,MICRO
Microporella curta,Other Invertebrates,MicroCurta
Microporella sp.,Other Invertebrates,MicropoSP
Millepora,Other Invertebrates,Millepora
Millepora bleached,Other Invertebrates,Mille-BL
Millepora squarrosa,Other Invertebrates,MIS
Mimulus foliatus,Other Invertebrates,Mif
Miniacina miniacea,Other Invertebrates,Mini_mini
Mithraculus forceps,Other Invertebrates,Mithfor
"Mobile, crab",Other Invertebrates,Crab
Mobile invertebrates,Other Invertebrates,mob
Mobile invertebrates 1,Other Invertebrates,MOB-INV
"Mobile, limpet",Other Invertebrates,MLimp
"Mobile, snail",Other Invertebrates,Snl
"Mobile, worm",Other Invertebrates,Wrm
Modiolus barbatus,Other Invertebrates,Mod_barb
Modiolus modiolus,Other Invertebrates,MOMD
Molgula manhattensis,Other Invertebrates,MMA
Molgula pacifica,Other Invertebrates,MOPA
Molgula pedunculata,Other Invertebrates,MOLG
Molgula spp.,Other Invertebrates,MOL
Molluscs,Other Invertebrates,MO
Molluscs: Cephalopods,Other Invertebrates,M_Ceph
Molluscs: Chitons,Other Invertebrates,MOCH
Molluscs: Gastropods,Other Invertebrates,gastropod
Molluscs: Gastropods: Shelled,Other Invertebrates,M_Gpod_Shl
Molluscs: Gastropods: Unshelled,Other Invertebrates,M_Gpod_Nud
Molluscs: Limpets,Other Invertebrates,MOLI
Molluscs: Snails,Other Invertebrates,MOSN
Monanchora arbuscula,Other Invertebrates,MONA
Monanchora-sp-3,Other Invertebrates,SPON-MONA3
Mopalia kennerleyi,Other Invertebrates,Mck
Mopalia spectabilis,Other Invertebrates,Msp
Mopalia (spp.),Other Invertebrates,Mke
Morula granulata,Other Invertebrates,MGRAN
Morula marginalba,Other Invertebrates,MorMar
Motile Invertebrate,Other Invertebrates,InvMotl
M.regula\ anemone,Other Invertebrates,Reg_ane
Mulberry Shell - Morula marginabla,Other Invertebrates,Morula
Munida quadrispina,Other Invertebrates,Muq
Murica pendula,Other Invertebrates,MurPen
Muricea flamma,Other Invertebrates,MUF
Muricea spp.,Other Invertebrates,MURSPP
Muricea sulphurea,Other Invertebrates,MUSU
Muriceopsis spp.,Other Invertebrates,MURISPP
Mussel,Other Invertebrates,Mussel
"Mussel, unidentified",Other Invertebrates,MUSL
Mycale grandis,Other Invertebrates,MGrand
Mycale laevis,Other Invertebrates,MLAE
Mycale sp,Other Invertebrates,MYle
Mycale spp.,Other Invertebrates,MYCA
Myriapora truncata,Other Invertebrates,Myria_trun
Mytilus edulis,Other Invertebrates,MED
Mytilus spp.,Other Invertebrates,MYTI
Mytilus spp. (Small),Other Invertebrates,Smm
Myxicola,Other Invertebrates,Myxicola
Myxicola infundibulum,Other Invertebrates,MYIN
Myxilla (Burtonanchora) asigmata,Other Invertebrates,Myasi
Myxilla fimbriata,Other Invertebrates,MYF
Myxilla lacunosa,Other Invertebrates,MYLA
Nacella concinna,Other Invertebrates,NACE
Nematoflustra flagellata,Other Invertebrates,Nefla
Nemertea,Other Invertebrates,NEM
Neobuccinum eatoni,Other Invertebrates,NEOB
Neoesperiopsis spp.,Other Invertebrates,NEOE
Neopetrosia,Other Invertebrates,Npt
Neopetrosia sp2,Other Invertebrates,Npt2
Neosmilaster georgianus,Other Invertebrates,Neos
Neospongodes atlantica,Other Invertebrates,NEOATLA
Nephthya,Other Invertebrates,NEPT
Nereididae,Other Invertebrates,NERE
Nicella spp.,Other Invertebrates,NICSPP
Niphates digitalis,Other Invertebrates,Ndig
Niphates sp,Other Invertebrates,Niph
Niphates toxifera,Other Invertebrates,Nptx
Non hard coral invertebrates,Other Invertebrates,Inv
Noodles,Other Invertebrates,NOOD
Notaeolidia gigas,Other Invertebrates,NOTA
Notoacmea testudinalis,Other Invertebrates,NOT
Notocidaris sp.,Other Invertebrates,NOTO
Notothenia coriiceps,Other Invertebrates,NOTCO
Nucella lapillus,Other Invertebrates,NUCE
Nucella spp.,Other Invertebrates,Nuc
Nudibranch species,Other Invertebrates,NudiPood
Nudibranch sp. - Egg Case Ribbon,Other Invertebrates,NsEgg
"Nudibranch, unidentified",Other Invertebrates,Nud
Nuttallochiton mirandus,Other Invertebrates,NUTT
Obelia longissima,Other Invertebrates,OBE
Obelia spp.,Other Invertebrates,OBEL
Obelia spp. (canopy),Other Invertebrates,OBCA
Obelia spp. (substratum),Other Invertebrates,OBC
Ocinebrina lurida,Other Invertebrates,Olu
Octocoral 1,Other Invertebrates,1-Oct
octopus,Other Invertebrates,Oct
Odontaster meriodonalis,Other Invertebrates,OdMer
Odontaster penicillatus,Other Invertebrates,O.penicill
Odontaster validus,Other Invertebrates,OdVal
OI_SP,Other Invertebrates,OI_SP
Onchidoris bilamellata,Other Invertebrates,ONB
Onchidoris muricata,Other Invertebrates,ONM
Onogorgia nodosa,Other Invertebrates,ONO
Opheodesoma spectabilis,Other Invertebrates,Ospec
Ophionotus victoriae,Other Invertebrates,OpVic
Ophiopholis aculeata,Other Invertebrates,OPHA
Ophioplocus januarii,Other Invertebrates,Ofiure
Ophiuroidea,Other Invertebrates,OPHI
Ophiuroids,Other Invertebrates,Oph
Ophlitaspongia pennata,Other Invertebrates,OPPE
Opisthobranchia,Other Invertebrates,OPIS
orange amorphous,Other Invertebrates,ORa
Orange encrusting bryozoan 1,Other Invertebrates,BROR1
Orange encrusting bryozoan 2,Other Invertebrates,BROR2
Orange encrusting bryozoan 4,Other Invertebrates,BROR4
Orange gelatinous bryozoan,Other Invertebrates,BROG
Orange Kiss,Other Invertebrates,ORK
orange sponge round,Other Invertebrates,Ornd
Oregonia gracilis,Other Invertebrates,Ogr
orenge tube,Other Invertebrates,tubeO
oreng sponge encrasting,Other Invertebrates,ORSE
Orthasterias koehleri,Other Invertebrates,Oko
Oscarella lobularis,Other Invertebrates,OSCALO
Oscarella sp.,Other Invertebrates,Osca_sp
Ostrea edulis,Other Invertebrates,OST
Ostrea Lurida,Other Invertebrates,OsLu
Ostrea sp.1,Other Invertebrates,Ostr_sp1
Ostrea sp.2,Other Invertebrates,Ostr_sp2
Ostrea sp.3,Other Invertebrates,Ostr_sp3
Ostreidae,Other Invertebrates,MOLL-OSTR
Oswaldella spp,Other Invertebrates,OSW
Other Branching Bryozoan,Other Invertebrates,OBB
Other Calcified Invert,Other Invertebrates,CalcInvert
Other Encrusting,Other Invertebrates,OEn
Other Fleshy Invert,Other Invertebrates,FleshInver
Other invertebrate,Other Invertebrates,Other Inv
Other Invertebrates,Other Invertebrates,OR_Invert
"Other sesile invertebrates Bryozoa, clams",Other Invertebrates,SINV_OTH
Other sesile invertebrates soft hexacorrallia,Other Invertebrates,SINV_HEX_O
Other sessile invertebrates,Other Invertebrates,OTH-SINV
Other soft coral,Other Invertebrates,OTH-SF
Other Soft Coral Bleached,Other Invertebrates,OTH-SF-B*
Other Soft Corals,Other Invertebrates,SINV_SFC_O
Others OT,Other Invertebrates,OT
Out of focus,Other Invertebrates,UNFO
Outros,Other Invertebrates,OU
Oyster,Other Invertebrates,OYst
Oyster / Anemone,Other Invertebrates,OYs_AN
Oysters,Other Invertebrates,Oys
Oysterss,Other Invertebrates,Oyss
Pachycheles chubutensis,Other Invertebrates,P.chubuten
Pachyclavularia,Other Invertebrates,Pachcla
Pachygrapsus transversus,Other Invertebrates,Pachytrans
Pagarus spp.,Other Invertebrates,PAG
Palaemon elegans,Other Invertebrates,Palaele
Palaemon serratus,Other Invertebrates,PALA
Palio dubia,Other Invertebrates,DUB
Palythoa,Other Invertebrates,PALYTHO
Palythoa_encrusting,Other Invertebrates,palenc
Palythoa_massive,Other Invertebrates,palmas
Pandalus danae,Other Invertebrates,Pdn
Pandalus platyceros,Other Invertebrates,Ppl
Parabunodactis imperfecta,Other Invertebrates,P.imperfec
Paraceradocus miersi,Other Invertebrates,PARAC
Paradexiospira vitrea,Other Invertebrates,PAVI
Paraleucilla magna,Other Invertebrates,ParaMag
Paraminabea_bushy,Other Invertebrates,parbus
Paraminabea_massive,Other Invertebrates,parmas
Paramolgula gregaria,Other Invertebrates,P.gregaria
Parastichopus californicus,Other Invertebrates,Pca
Parazoanthus_arborescent,Other Invertebrates,pararb
parazoantos axinella,Other Invertebrates,PAAX
parazoantus axinella,Other Invertebrates,PARAZ
Parborlasia corrugatus,Other Invertebrates,CORRU
Pariphimedia integricauda,Other Invertebrates,CHE
Pariphimedia integricauda.,Other Invertebrates,PARI
Parvulastra exigua,Other Invertebrates,Pex
Patella sp.,Other Invertebrates,PATEL
Patelloidea sp,Other Invertebrates,PATE
Pateria miniata,Other Invertebrates,PMini
Patinella radiata,Other Invertebrates,Pati_ra
Patinella tonica,Other Invertebrates,PatiToni
Pellilitorina pellita,Other Invertebrates,PELL
Peltodoris spp.,Other Invertebrates,Pei
Penares nux,Other Invertebrates,Pen_nux
Pennaria disticha,Other Invertebrates,PENADI
Pennatulacea,Other Invertebrates,PEN
Pentapora fascialis,Other Invertebrates,Penta_fasc
Pentapora ottomulleriana,Other Invertebrates,Penta_otto
Perkinsiana sp,Other Invertebrates,PKIN
Perknaster sp,Other Invertebrates,PERK
Perna perna,Other Invertebrates,Prnprn
Perophora annectens,Other Invertebrates,PEAN
Petricola pholadiformis,Other Invertebrates,Petric ph
Petrosia ficiformis,Other Invertebrates,PETRFI
petrozia,Other Invertebrates,PET
Phakellia spp.,Other Invertebrates,PHAK
Phallusia nigra,Other Invertebrates,PHALUS
Phidolopora pacifica,Other Invertebrates,PHPA
Phorbas cf. domini,Other Invertebrates,PHOR
Phorbas glaberrimus,Other Invertebrates,Phgl
Phorbas sp.,Other Invertebrates,phorb
Phorbas tenacior,Other Invertebrates,phor_ten
Phorbas topsenti,Other Invertebrates,PHORBTO
Phorcus turbinatus,Other Invertebrates,Phortur
phragmatompoma tube,Other Invertebrates,phr_sa_tub
Phrikoceros mopsus,Other Invertebrates,P.mopsus
Phylangia americana,Other Invertebrates,ANT-PHYL
Phyllangia mouchetzi,Other Invertebrates,Phyllangi_
Phyllochaetopterus claparedii,Other Invertebrates,PHCL
Phyllochaetopterus prolifica,Other Invertebrates,PHPR
Phyllogorgia dilatata,Other Invertebrates,PHDI
Phyllolithodes papillosus,Other Invertebrates,Ppa
Phymanthus_encrusting,Other Invertebrates,phyenc
Pileolaria spp.,Other Invertebrates,PISP
Pilumnoides hassleri,Other Invertebrates,P. hassler
Pinctada /Anemone,Other Invertebrates,Pin_Ane
Pinctada imbricata,Other Invertebrates,Pincta
Pinctada imbricata radiata,Other Invertebrates,Pincimb
Pinctada margaritifera,Other Invertebrates,BLPO
Pinctada radiata,Other Invertebrates,PINr
pink amorphous,Other Invertebrates,PNa
pink blob,Other Invertebrates,Pblob
pink bryozoa/sponge,Other Invertebrates,PNbs
pink sponge encrasting,Other Invertebrates,PNSE
Pinna bicolor,Other Invertebrates,Pinn_bic
Pinnigorgia,Other Invertebrates,Pin
Pinnigorgia_arborescent,Other Invertebrates,pinarb
Pipe-like Sponge,Other Invertebrates,PS
Pisaster brevispinus,Other Invertebrates,Pbr
Pisaster ochraceous,Other Invertebrates,Poc
Pista elongata,Other Invertebrates,PIEL
Placetron wosnessenskii,Other Invertebrates,Pwo
Plakortis,Other Invertebrates,PLAK
Plakortis lita,Other Invertebrates,Pla_lit
Platonea stoechas,Other Invertebrates,Plato sto
Plesiocleiodochasma sp.,Other Invertebrates,PlesioSP
Pleurobranchaea maculata,Other Invertebrates,babosaToxi
Plexaura spp.,Other Invertebrates,PLESPP
Plexaurella grandiflora,Other Invertebrates,PLEXG
Plexaurella regia,Other Invertebrates,PLEXR
Plexaurella spp.,Other Invertebrates,PLEXSPP
Plexauridae,Other Invertebrates,Ple
PNG-Tunicate-Solitary,Other Invertebrates,PNGTS
Pododesmus macrochisma,Other Invertebrates,PDMC
Pododesmus sp.,Other Invertebrates,Podod
Polycera marplatensis,Other Invertebrates,Nudi.COLOR
Polychaeta,Other Invertebrates,POLYCH
polychaete,Other Invertebrates,Plt
Polychaete_branching,Other Invertebrates,Pct_br
Polychaete_solo,Other Invertebrates,Pct_sl
Polychaete - tube worm,Other Invertebrates,Tube Worm
Polymastia invaginata,Other Invertebrates,INVA
Polymastia spp.,Other Invertebrates,POLY
Polynoidae,Other Invertebrates,POLYn
Polyplacophora,Other Invertebrates,POL
Polysyncraton sp.,Other Invertebrates,PolySP
Polysyncraton_spp,Other Invertebrates,Polysyncra
Pomatoceros_spp,Other Invertebrates,Pomato
Porania pulvillus,Other Invertebrates,POR
Porifera - blue,Other Invertebrates,Sponge blu
Porifera_encrusting,Other Invertebrates,Prf_enc
Porifera_encrusting_red,Other Invertebrates,Prf_enc_r
Porifera indet. or Ascidiacea indet.,Other Invertebrates,Prfa-Ascid
Porifera - orange,Other Invertebrates,PorOrg
Porifera - purple,Other Invertebrates,Sponge pur
Porifera - red,Other Invertebrates,Por Red
Porifera_red,Other Invertebrates,Prf_red
Porifera_white,Other Invertebrates,Prf_white
Porifera_yellow,Other Invertebrates,Prf
Porifera_yellow2,Other Invertebrates,Prf2
Porifera_yellow3,Other Invertebrates,Prf3
Porifera_yellow4,Other Invertebrates,Prf4
Prasmittina alba,Other Invertebrates,PrasAlba
Prasmittina glomerata,Other Invertebrates,PrasGlom
Priapulada,Other Invertebrates,PRIA
Priapulus tuberculatospinosus,Other Invertebrates,PriTub
Promachocrinus kerguelensis,Other Invertebrates,PROM
Prostebbingia sp,Other Invertebrates,PROS
Protolaeospira eximia,Other Invertebrates,PREX
Protoleodora aperata,Other Invertebrates,PRAP
Protula pacifica,Other Invertebrates,Prp
Protula tubularia,Other Invertebrates,Protul-tub
Pseudechinus magellanicus,Other Invertebrates,ErizoRojo
Pseudoceratina_sp,Other Invertebrates,PsCer
Pseudochasma sp,Other Invertebrates,PseudoSP
Pseudochitinopoma occidentalis,Other Invertebrates,PSCO
Pseudocnus lubricus,Other Invertebrates,Plu
Pseudoplexaura spp.,Other Invertebrates,PSESPP
Pseudopterogorgia,Other Invertebrates,Pseudopter
Pseudotritonia gracilidens,Other Invertebrates,PseuGraci
Psilaster charcoti,Other Invertebrates,PSI
Psolidium bidiscum,Other Invertebrates,PSBI
Psolus chitonodes,Other Invertebrates,PSCH
Psolus sp.,Other Invertebrates,PSO
Pteraster militaris,Other Invertebrates,Pmi
Pteraster tesselatus,Other Invertebrates,Pte
Pteria aegyptiaca,Other Invertebrates,Pter_aeg
pteria /Anemone,Other Invertebrates,Ptei_Ane
Pteria penguin,Other Invertebrates,Pter_ping
Pterogorgia,Other Invertebrates,Pterogorg
Ptilosarcus gurneyi,Other Invertebrates,PTGU
Puellina sp.,Other Invertebrates,PuellinaSP
Pugettia gracilis,Other Invertebrates,Pgr
Pugettia producta,Other Invertebrates,Ppr
Pugettia richii,Other Invertebrates,Pur
Purple Ascidian,Other Invertebrates,PurpAscid
Purple Bryozoan,Other Invertebrates,B_Purple
Pycnoclavella sp.,Other Invertebrates,Pycno
Pycnoclavella spp.,Other Invertebrates,Pycnocla
Pycnoclavella stanleyi,Other Invertebrates,PYST
Pycnogonida,Other Invertebrates,PYC
Pycnopodia helianthoides,Other Invertebrates,Phe
Pyura bouvetensis,Other Invertebrates,PYUb
Pyura haustor,Other Invertebrates,PYRH
Pyura setosa,Other Invertebrates,PYUset
Pyuridae,Other Invertebrates,Pyura
raspailia,Other Invertebrates,RAS
Red sponge,Other Invertebrates,RedS
Red sponge encrasting,Other Invertebrates,RedSE
Reniera spp.,Other Invertebrates,RENI
Reteporella spp.,Other Invertebrates,Retepo
Reteporellina denticulata,Other Invertebrates,RDEN
Rhabdastrella globostellata,Other Invertebrates,Rha_glo
Rhinchozoon brasiliensis,Other Invertebrates,RhinchBra
Rhinchozoon phrynoglossum,Other Invertebrates,RhichPhry
Rhinolithodes wosnessenskii,Other Invertebrates,Rwo
Rhodactis,Other Invertebrates,Rho
Rhynchozoon neapolitanum,Other Invertebrates,Rhynch_nea
Rhytisma_encrusting,Other Invertebrates,rhyenc
Ribbed Limpet,Other Invertebrates,Ribbed lmp
Ribbon,Other Invertebrates,Ribbon
Ricordea,Other Invertebrates,Rico
Rope sponge,Other Invertebrates,ROSP
Rossella racovitzae,Other Invertebrates,ROS
Rumphella_arborescent,Other Invertebrates,rumarb
Rumphella_bushy,Other Invertebrates,rumbus
Rumphella sp.,Other Invertebrates,Rum
Sabellaria sp.,Other Invertebrates,SabeSP
Sabellariidae,Other Invertebrates,Sabella
sabellastarte spectabilis,Other Invertebrates,SSPE
Sabellidae,Other Invertebrates,Sab
Sagartia elegans,Other Invertebrates,SAG
Salmacina clysteri,Other Invertebrates,Sclysteri
Salmacina_spp/Filograna implexa,Other Invertebrates,Salmacin-F
Sand dollars,Other Invertebrates,SandD
S. Anemone,Other Invertebrates,Ane
Sarcophyton,Other Invertebrates,Sarco
Sarcophyton 1,Other Invertebrates,Sarco1
Sarcophyton_lobate,Other Invertebrates,sarlob
Sarcophyton_massive,Other Invertebrates,sarmas
Sarcophyton spp.,Other Invertebrates,Sar_spp
sarcotragus,Other Invertebrates,Sar
Sarcotragus spinosulus,Other Invertebrates,SARCOSP
Savignyella lafonti,Other Invertebrates,SaviLafo
"Scallop, unidentified",Other Invertebrates,Slp
Schizobrachiella sanguinea,Other Invertebrates,Schizob_sa
Schizomavella auriculata,Other Invertebrates,SCAU
Schizomavella spp.,Other Invertebrates,Schizom
Schizoporella cornuta,Other Invertebrates,Scorn
Schizoporella errata,Other Invertebrates,SchizoErra
Schizoporella floridana,Other Invertebrates,Sflorid
Schizoporella sp.,Other Invertebrates,SCSP
Schizoporella unicornis,Other Invertebrates,SCH
Schizoporella violacea,Other Invertebrates,Schizo vio
Schizotheca serratimargo,Other Invertebrates,Schizo_ser
Schraderia gracilis,Other Invertebrates,SCHR
Scleronephthya_bushy,Other Invertebrates,sclbus
Scorpiodinipora costulata,Other Invertebrates,ScopiCost
Scrupocellaria sp.,Other Invertebrates,SCRSp
Scutellastra peronii,Other Invertebrates,Spe
Scypha sp.,Other Invertebrates,SCY
Scyphozoa,Other Invertebrates,Scypho
Scyra acutifrons,Other Invertebrates,Sac
S. droebachiensis,Other Invertebrates,Sdr
Sea cucumber,Other Invertebrates,cucumber
Sea cucumbers:Benthic,Other Invertebrates,ESCB
Sea cucumbers: Pelagic / swimming,Other Invertebrates,ESCP
"Sea cucumbers, sea urchins, sea stars, lobste",Other Invertebrates,MINV_OTH
Sea Fan,Other Invertebrates,Seafan
Sea fans/plumes,Other Invertebrates,GORG
Sea fans/plumes Bleached,Other Invertebrates,GORG-B*
Sea fans/plumes/branching/whipes,Other Invertebrates,SINV_SFC_E
Sea Spider,Other Invertebrates,SPID
Sea Star,Other Invertebrates,SStar
"sea star, unidentified",Other Invertebrates,Sea
Sedentary Annelida Polychaeta,Other Invertebrates,Anne_poly
S. edmondsoni,Other Invertebrates,SaEdm
S. edmonsonii,Other Invertebrates,SaEdmon
Semibalanus balanoides,Other Invertebrates,SEMI
Semibalanus cariosus,Other Invertebrates,SECA
Serolidae,Other Invertebrates,SERO
Serpula columbiana,Other Invertebrates,Sco
Serpulidae worm,Other Invertebrates,Serpulworm
Serpulid worms,Other Invertebrates,SERP
serpulid worm sediment matrix,Other Invertebrates,swsm
"Serpulid worms, unidentified",Other Invertebrates,SEUN
Sertularia sp.,Other Invertebrates,Sert
Sessile Hermitcrab,Other Invertebrates,HERMIT
S. franciscanus,Other Invertebrates,Sfr
"Shrimp, unidentified",Other Invertebrates,Shi
Silicularia pedunculata,Other Invertebrates,SIL
Sinularia,Other Invertebrates,Sinla
Sinularia_bushy,Other Invertebrates,sinbus
Sinularia_digitate,Other Invertebrates,sindig
Sinularia_lobate,Other Invertebrates,sinlob
Sinularia sp.,Other Invertebrates,Sinu
SINV_SPO_FAN,Other Invertebrates,SINV_SPO_F
Siphonaria gigas,Other Invertebrates,Sgi
Siphonaria sp,Other Invertebrates,Siph
Siphonogorgia_fan,Other Invertebrates,sipfan
small Ciona intestinal,Other Invertebrates,SmC
Small Crab,Other Invertebrates,SmCrb
Smenospongia cerebriformis,Other Invertebrates,SmenCere
Smittina cervicornis,Other Invertebrates,Smitt_cerv
Smittina smittiella,Other Invertebrates,SmitSmitt
Smittipora tuberculata,Other Invertebrates,SmittTuber
"Snail, unidentified",Other Invertebrates,Sna
Soft Bleached,Other Invertebrates,SINV_BLC
Soft Coral,Other Invertebrates,SC
Soft Coral Capnella,Other Invertebrates,CAPN
Soft Coral Leathery,Other Invertebrates,SCL
Soft Coral (massive),Other Invertebrates,SC_massive
softcoral_ nephtheidae,Other Invertebrates,NEP
Soft Coral plumes,Other Invertebrates,SCplu
softcoral_xeniidae,Other Invertebrates,XENII
Solanderia spp.,Other Invertebrates,Solspp
Solaster dawsoni,Other Invertebrates,Sda
Solaster endeca,Other Invertebrates,Sen
Solaster stimpsoni,Other Invertebrates,Sst
Solenocaulon_fan,Other Invertebrates,solfan
Solidobalanus engbergi,Other Invertebrates,SOEN
Sphaerotylus antarcticus,Other Invertebrates,SPHA
Spheciospongia vagabunda,Other Invertebrates,SphV
Spider Crab,Other Invertebrates,SpiCrb
Spiochaetopterus costarum,Other Invertebrates,SPCO
Spionidae,Other Invertebrates,SPIO
Spiral Worm,Other Invertebrates,SW
Spirastrella sp.,Other Invertebrates,Spir
Spirobranchus sp.,Other Invertebrates,Spi_spe
Spirorbidae,Other Invertebrates,Spiro
Spirorbidae.,Other Invertebrates,SPI
Spirorbid worms,Other Invertebrates,Spirorworm
Spirorbinae,Other Invertebrates,SPISp
"Spirorbinid worm, unidentified",Other Invertebrates,SPRO
Spirorbis_spp,Other Invertebrates,Spirorb
Spondylus sp,Other Invertebrates,Spond_sp
Spondylus spiosus,Other Invertebrates,SPONDY
Sponge,Other Invertebrates,SP
Sponge (arborescent),Other Invertebrates,SP_arbor
Sponge_arborescent,Other Invertebrates,spoarb
Sponge - Branching Agelas,Other Invertebrates,BrAg
Sponge: Cliona,Other Invertebrates,SINV_SPO_C
Sponge_encrusting,Other Invertebrates,spoenc
Sponge: Encrusting,Other Invertebrates,SpongeCRUS
Sponge_flabellate,Other Invertebrates,spofla
Sponge_globular,Other Invertebrates,spoglo
Sponge (massive),Other Invertebrates,SP_mass
Sponge_massive,Other Invertebrates,spomas
Sponge: massive violet,Other Invertebrates,Violeta
Sponge Other,Other Invertebrates,SpgOth
Sponge: Papilae,Other Invertebrates,SpongePAPI
Sponge_papillate,Other Invertebrates,spopap
Sponge_pedunculate,Other Invertebrates,spoped
Sponge: Repent,Other Invertebrates,SpongeREPE
Sponge_repent_branching,Other Invertebrates,sporep
Sponges: Bead,Other Invertebrates,S_bead
